isoform,length,plddt,class,seqence identity,tm-score,helix,sheet,loop,surface charge,radius of gyration,high id low tm,charge positive,charge negative,radius positive,radius negative,ptm added,ptm buried to exposed,ptm exposed to buried,ptm missed,ptm added(curated),ptm buried to exposed(curated),ptm exposed to buried(curated),ptm missed(curated)
Q6GPH4-3,141,91.55921986,high,46.84385382,0.561634873,0.489361702,0.319148936,0.191489362,-3,31.53130317,na,na,na,na,na,0,0,0,10,0,0,0,0
Q8N443-3,238,91.55701681,high,62.79683377,0.404564795,0.865546218,0,0.134453782,7,86.06199578,na,na,na,TRUE,na,0,0,0,0,0,0,0,0
Q8NDH3-4,495,91.55555556,high,91.08159393,0.94490712,0.385858586,0.187878788,0.426262626,1,23.51230104,na,na,na,na,na,0,0,0,0,0,0,0,0
Q9BXS5-2,435,91.54708046,high,97.24137931,0.984203176,0.188505747,0.402298851,0.409195402,0,26.34909541,na,na,na,na,na,0,1,0,0,0,0,0,0
P09493-6,284,91.54461268,high,90.49295775,0.859954815,0.992957746,0,0.007042254,-29,120.6580414,na,na,na,na,na,1,0,0,9,0,0,0,1
Q96DT0-2,275,91.5444,high,81.8452381,0.737030093,0.032727273,0.534545455,0.432727273,7,21.20704633,na,na,na,na,na,0,0,0,2,0,0,0,0
P36268-3,574,91.54419861,high,98.7804878,0.984327007,0.43554007,0.162020906,0.402439024,4,26.21621045,na,na,na,na,na,0,0,1,0,0,0,0,0
Q9NYQ3-2,364,91.53967033,high,96.42857143,0.969457608,0.464285714,0.123626374,0.412087912,-1,21.27738753,na,na,na,na,na,0,0,0,0,0,0,0,0
Q9H1Y0-2,197,91.53949239,high,71.27272727,0.849285247,0.416243655,0.081218274,0.502538071,-6,18.03183986,na,na,na,na,na,0,1,0,4,0,0,0,1
P54819-4,130,91.53776923,high,53.55648536,0.472334215,0.461538462,0.069230769,0.469230769,1,19.52733871,na,na,na,na,na,0,0,0,19,0,0,0,0
Q6ZMK1-3,192,91.53375,high,25.6281407,0.327776051,0.854166667,0,0.145833333,-2,16.60533496,na,na,na,na,na,0,0,2,9,0,0,0,0
Q9HAW8-2,441,91.52820862,high,81.69811321,0.870806095,0.47845805,0.133786848,0.387755102,-3,24.48482154,na,na,na,na,na,0,0,0,2,0,0,0,1
Q9NZQ0-3,177,91.52412429,high,64.46886447,0.762529522,0.333333333,0.265536723,0.401129944,1,18.82679056,na,na,na,na,na,0,0,0,0,0,0,0,0
P49961-5,402,91.52402985,high,78.82352941,0.757285723,0.470149254,0.144278607,0.385572139,-6,30.307355,na,na,na,na,na,0,0,0,2,0,0,0,0
Q8WVQ1-3,350,91.52277143,high,87.28179551,0.844353465,0.074285714,0.445714286,0.48,-5,21.76106341,na,na,na,na,na,0,0,0,0,0,0,0,0
Q9H4P4-2,246,91.52052846,high,77.60252366,0.705520239,0.573170732,0.12601626,0.300813008,-4,38.49047108,na,na,na,na,na,0,0,0,0,0,0,0,0
Q15435-4,237,91.51274262,high,64.08839779,0.772916808,0.025316456,0.113924051,0.860759494,-13,20.81748524,na,na,na,na,na,0,0,0,13,0,0,0,5
Q5VST6-2,293,91.51044369,high,97.6109215,0.970661026,0.419795222,0.197952218,0.38225256,2,18.92687397,na,na,na,na,na,0,0,0,0,0,0,0,0
P38405-3,174,91.49965517,high,45.66929134,0.680157305,0.505747126,0.109195402,0.385057471,-2,17.12135585,na,na,na,na,na,0,0,0,7,0,0,0,0
Q9HCC8-2,460,91.49030435,high,85.3432282,0.905754971,0.593478261,0.1,0.306521739,6,31.93573996,na,na,na,na,na,0,0,0,0,0,0,0,0
P18510-2,159,91.48880503,high,88.13559322,0.901955483,0.088050314,0.48427673,0.427672956,-3,17.64677268,na,na,na,na,na,0,0,0,0,0,0,0,0
Q5VSG8-2,235,91.48676596,high,47.60869565,0.744064631,0.378723404,0.093617021,0.527659574,2,18.99151177,na,na,na,na,na,0,1,0,5,0,0,0,0
O75521-2,359,91.48331476,high,91.11675127,0.935883366,0.559888579,0.086350975,0.353760446,9,23.60071361,na,na,na,na,na,0,0,0,0,0,0,0,0
Q13325-2,434,91.479447,high,90.04149378,0.681466956,0.804147465,0,0.195852535,1,26.4210047,na,na,na,na,na,0,3,0,4,0,0,0,0
P67936-2,284,91.47880282,high,75.51724138,0.877303083,0.992957746,0,0.007042254,-29,120.6182309,na,na,na,TRUE,na,3,0,0,5,0,0,0,0
Q9HB55-3,420,91.47128571,high,83.10139165,0.915775832,0.623809524,0.073809524,0.302380952,-2,25.08768377,na,na,na,na,na,0,0,0,1,0,0,0,0
P24557-2,466,91.47030043,high,87.42964353,0.932631153,0.568669528,0.096566524,0.334763948,1.11E-16,22.16735571,na,na,na,na,na,0,0,0,1,0,0,0,0
Q13795-2,173,91.46890173,high,86.06965174,0.925738788,0.393063584,0.248554913,0.358381503,-2,18.04419898,na,na,na,na,na,0,0,0,1,0,0,0,0
Q16653-8,206,91.46742718,high,80.97165992,0.770647129,0.40776699,0.300970874,0.291262136,3,42.31775732,na,na,na,na,na,0,0,0,0,0,0,0,0
P08621-3,166,91.46698795,high,36.61327231,0.574323515,0.427710843,0.096385542,0.475903614,2,48.7036005,na,na,TRUE,na,na,0,0,0,28,0,0,0,1
Q9BWS9-3,362,91.46453039,high,92.11195929,0.877057683,0.342541436,0.198895028,0.458563536,10,26.37664184,na,na,na,na,na,0,0,0,0,0,0,0,0
Q5JR12-2,299,91.45926421,high,59.20792079,0.77608424,0.347826087,0.170568562,0.481605351,-2.22E-16,22.772677,na,na,na,na,na,0,1,0,8,0,0,0,0
Q16653-6,213,91.45511737,high,80.70866142,0.794175436,0.431924883,0.291079812,0.276995305,1,45.58271946,na,na,na,na,na,0,0,0,0,0,0,0,0
Q6ZRR5-2,126,91.45349206,high,51.42857143,0.549155598,0.833333333,0,0.166666667,9,24.70232809,na,na,na,na,na,0,0,0,0,0,0,0,0
Q8N9F7-2,290,91.444,high,85.23076923,0.942260641,0.444827586,0.148275862,0.406896552,7,22.01834219,na,na,na,na,na,0,0,0,3,0,0,0,0
Q0GE19-4,186,91.44155914,high,54.41176471,0.678154581,0.817204301,0,0.182795699,1,19.7488326,na,na,na,na,na,0,0,0,0,0,0,0,0
O95198-2,597,91.4379397,high,98.15745394,0.930318904,0.319932998,0.231155779,0.448911223,-1,32.32661583,na,na,na,na,na,0,0,0,0,0,0,0,0
Q9H0U3-2,134,91.43283582,high,38.80597015,0.634444603,0.649253731,0.104477612,0.246268657,7,25.28373769,na,na,na,na,na,0,1,0,2,0,0,0,0
Q96DT0-5,314,91.41047771,high,93.45238095,0.954083214,0.047770701,0.49044586,0.461783439,8,21.29932192,na,na,na,na,na,0,0,0,1,0,0,0,0
Q9HAW7-2,441,91.40834467,high,81.69811321,0.889904019,0.464852608,0.133786848,0.401360544,-2,24.74276547,na,na,na,na,na,0,0,0,2,0,0,0,1
P09493-10,284,91.40651408,high,94.01408451,0.972531297,0.992957746,0,0.007042254,-26,120.3506859,na,na,na,na,na,0,0,0,3,0,0,0,0
Q9BUY7-2,139,91.40374101,high,84.66257669,0.915626162,0.654676259,0,0.345323741,2,21.10941371,na,na,na,na,na,0,0,0,1,0,0,0,0
Q9Y2T4-3,430,91.40344186,high,95.74944072,0.973615592,0.088372093,0.411627907,0.5,-7,24.74333543,na,na,na,na,na,0,0,0,0,0,0,0,0
P09493-4,284,91.39348592,high,94.36619718,0.958304518,0.992957746,0,0.007042254,-26,120.416876,na,na,na,na,na,0,0,0,3,0,0,0,0
P22694-10,321,91.39152648,high,86.76056338,0.940024777,0.38317757,0.143302181,0.473520249,7,21.42583305,na,na,na,na,na,0,3,0,5,0,0,0,0
Q02985-2,269,91.38881041,high,81.51515152,0.484571555,0.059479554,0.293680297,0.646840149,4,30.72842105,TRUE,na,na,na,TRUE,0,0,0,0,0,0,0,0
P47756-2,272,91.38602941,high,90.61371841,0.963905217,0.411764706,0.323529412,0.264705882,-2,23.62120034,na,na,na,na,na,8,0,0,2,0,0,0,1
O75344-2,322,91.38052795,high,95.41284404,0.95195784,0.527950311,0.118012422,0.354037267,4,30.48008839,na,na,na,na,na,0,0,0,0,0,0,0,0
Q16653-11,206,91.37169903,high,80.16194332,0.806075334,0.412621359,0.300970874,0.286407767,3,42.47713215,na,na,na,na,na,0,0,0,0,0,0,0,0
Q5EB52-2,326,91.36957055,high,97.31343284,0.966637334,0.515337423,0.13803681,0.346625767,14,20.51115144,na,na,na,na,na,0,0,0,0,0,0,0,0
P11413-3,545,91.36933945,high,94.49541284,0.968839301,0.396330275,0.181651376,0.422018349,5,28.86301262,na,na,na,na,na,2,1,1,0,0,0,0,0
Q13362-2,449,91.35596882,high,84.73282443,0.913738968,0.741648107,0,0.258351893,1,31.57724839,na,na,na,na,na,0,1,2,3,0,0,0,1
P07951-2,284,91.35521127,high,87.32394366,0.90538686,0.992957746,0,0.007042254,-31,120.5720008,na,na,na,na,na,3,0,0,10,0,0,0,0
P19419-2,95,91.35421053,high,21.4953271,0.573064006,0.410526316,0.178947368,0.410526316,5,12.99282586,na,na,na,na,na,0,0,0,0,0,0,0,0
Q14554-2,262,91.35236641,high,49.71098266,0.670946211,0.377862595,0.183206107,0.438931298,9,27.45326275,na,na,na,na,na,0,0,0,0,0,0,0,0
P48728-2,347,91.3474928,high,86.10421836,0.878285005,0.291066282,0.360230548,0.34870317,9,21.07095273,na,na,na,na,na,0,0,1,0,0,0,0,0
Q495B1-1,514,91.34663424,high,95.40229885,0.977442876,0.581712062,0,0.418287938,-8,36.1668806,na,na,na,na,na,0,0,0,0,0,0,0,0
Q96E66-6,174,91.33132184,high,86.97916667,0.9052756,0.327586207,0.068965517,0.603448276,4,19.51566502,na,na,na,na,na,1,1,0,0,0,0,0,0
Q9BY64-2,335,91.3161194,high,63.13799622,0.775503463,0.489552239,0.101492537,0.408955224,1,24.2016131,na,na,TRUE,na,na,0,0,0,4,0,0,0,0
Q15573-2,336,91.31502976,high,74.66666667,0.858849214,0.80952381,0,0.19047619,20,28.03020995,na,na,na,na,na,0,1,0,2,0,0,0,0
P50452-2,242,91.30892562,high,64.43850267,0.804776583,0.376033058,0.23553719,0.388429752,-12,21.16482837,na,na,na,na,na,0,2,0,11,0,0,0,0
P24863-2,198,91.3019697,high,69.96466431,0.817260898,0.676767677,0,0.323232323,-3,24.69894796,na,na,na,na,na,0,0,0,3,0,0,0,0
P26440-2,396,91.2970202,high,92.95774648,0.936342232,0.593434343,0.126262626,0.28030303,2,21.964671,na,na,na,na,na,0,0,1,3,0,0,0,0
O00182-3,311,91.27099678,high,87.6056338,0.883629908,0.019292605,0.501607717,0.479099678,2,21.17402982,na,na,na,na,na,0,0,0,2,0,0,0,0
P10155-5,525,91.26859048,high,95.19408503,0.986061974,0.565714286,0.066666667,0.367619048,11,26.27537836,na,na,na,na,na,2,1,0,0,0,0,0,0
P78410-3,292,91.26818493,high,87.4251497,0.689508707,0.345890411,0.352739726,0.301369863,-9,59.1702605,na,na,na,na,na,0,0,0,0,0,0,0,0
Q9NZL9-4,306,91.25980392,high,88.65671642,0.79550741,0.437908497,0.124183007,0.437908497,-5,24.45983892,na,na,na,na,na,0,3,0,3,0,0,0,0
P35504-2,445,91.25676404,high,81.83520599,0.909803241,0.480898876,0.134831461,0.384269663,0,24.91961757,na,na,na,na,na,0,0,0,1,0,0,0,0
O75355-2,452,91.25623894,high,85.25519849,0.848309045,0.418141593,0.212389381,0.369469027,-9,33.58652052,na,na,na,na,na,0,0,0,1,0,0,0,0
Q9UMR5-3,308,91.25366883,high,98.05194805,0.970068526,0.415584416,0.123376623,0.461038961,-6,33.10422964,na,na,na,na,na,0,0,0,0,0,0,0,0
Q13309-4,210,91.25152381,high,49.52830189,0.707075274,0.333333333,0.085714286,0.580952381,2,18.74995622,na,na,na,na,na,0,1,0,13,0,1,0,5
P06133-2,392,91.24553571,high,71.02803738,0.839285144,0.489795918,0.096938776,0.413265306,8,28.97335695,na,na,na,na,na,0,0,0,0,0,0,0,0
O95825-2,198,91.24212121,high,55.3008596,0.732067875,0.277777778,0.297979798,0.424242424,-5,20.30418234,na,na,na,na,na,0,0,0,8,0,0,0,0
Q6BCY4-2,237,91.2421097,high,80.14440433,0.879014595,0.151898734,0.345991561,0.502109705,2,19.27311633,na,na,na,na,na,0,0,0,0,0,0,0,0
Q9NWS8-2,238,91.23331933,high,53.00668151,0.740759663,0.676470588,0.096638655,0.226890756,-6,28.35034978,na,na,na,na,na,0,0,0,0,0,0,0,0
Q9HB55-2,504,91.2327381,high,99.8015873,0.990421588,0.569444444,0.077380952,0.353174603,5,24.9523926,na,na,na,na,na,0,0,0,0,0,0,0,0
O60880-2,75,91.2304,high,55.03875969,0.652145714,0.146666667,0.413333333,0.44,-1,12.63767567,na,na,na,na,na,0,1,0,11,0,0,0,0
P19224-3,443,91.22781038,high,81.76691729,0.90472613,0.480812641,0.130925508,0.388261851,2,24.92611835,na,na,na,na,na,0,1,0,1,0,0,0,0
P15531-2,177,91.22463277,high,85.87570621,0.92787878,0.474576271,0.13559322,0.389830508,-5,19.61345731,na,na,na,na,na,0,0,1,0,0,0,0,0
Q9BRR6-2,496,91.22377016,high,99.79879276,0.904990552,0.421370968,0.181451613,0.397177419,-13,26.38709626,na,na,na,na,na,0,0,0,0,0,0,0,0
Q99720-5,187,91.22005348,high,83.85650224,0.75380848,0.347593583,0.347593583,0.304812834,-6,23.10932225,na,na,na,na,na,0,1,0,0,0,0,0,0
Q9UQ03-2,475,91.21058947,high,98.95833333,0.948101664,0.138947368,0.364210526,0.496842105,5,25.77599137,na,na,na,na,na,0,0,0,0,0,0,0,0
Q53F39-3,341,91.20304985,high,84.88664987,0.886723659,0.384164223,0.146627566,0.469208211,1,27.02364843,na,na,na,na,na,0,0,0,0,0,0,0,0
Q86X67-3,226,91.18831858,high,64.20454545,0.796072,0.309734513,0.238938053,0.451327434,2,20.83621574,na,na,na,na,na,0,0,0,0,0,0,0,0
Q6XQN6-2,567,91.18514991,high,94.88536155,0.967026862,0.400352734,0.14638448,0.453262787,-1,29.32875258,na,na,na,na,na,0,0,0,0,0,0,0,0
P05089-3,236,91.18228814,high,73.29192547,0.789968321,0.411016949,0.110169492,0.478813559,4,18.99707954,na,na,na,na,na,0,2,0,2,0,0,0,0
P54687-3,349,91.18189112,high,90.41450777,0.922379566,0.220630372,0.275071633,0.504297994,-11,25.2068692,na,na,na,na,na,0,0,0,2,0,0,0,0
P07355-2,357,91.1794958,high,94.95798319,0.917097711,0.722689076,0,0.277310924,5,24.27337026,na,na,na,na,na,0,0,0,0,0,0,0,0
Q6ZT21-2,316,91.17294304,high,69.75717439,0.787798575,0.398734177,0.205696203,0.39556962,-3,26.3670465,na,na,na,na,na,0,0,0,1,0,0,0,0
P13688-3,321,91.1623676,high,60.64638783,0.751601338,0.037383178,0.464174455,0.498442368,-6,44.60177328,na,na,na,na,na,0,0,0,11,0,0,0,7
Q9P2M1-2,349,91.16197708,high,99.4269341,0.980281754,0.756446991,0,0.243553009,2,24.29291356,na,na,na,na,na,0,0,0,0,0,0,0,0
P22307-4,466,91.15888412,high,85.19195612,0.668260121,0.435622318,0.175965665,0.388412017,4,25.65371394,na,na,na,na,na,0,0,0,1,0,0,0,0
Q16555-2,536,91.15858209,high,93.70629371,0.90462511,0.35261194,0.119402985,0.527985075,-3,27.96578867,na,na,na,na,na,0,0,0,5,0,0,0,0
P49366-2,322,91.15841615,high,87.26287263,0.908705649,0.527950311,0.049689441,0.422360248,-13,26.03464691,na,na,na,na,na,0,1,0,0,0,0,0,0
Q13228-4,514,91.15756809,high,91.63424125,0.957609266,0.085603113,0.332684825,0.581712062,4,22.64428108,na,na,na,na,na,0,0,0,0,0,0,0,0
Q96AT9-3,178,91.14780899,high,65.04065041,0.781836147,0.488764045,0.134831461,0.376404494,-4,17.36936217,na,na,na,na,na,0,1,0,3,0,0,0,0
Q9H4K7-2,178,91.14258427,high,43.84236453,0.705018763,0.404494382,0.174157303,0.421348315,-1,15.98123603,na,na,na,na,na,0,1,0,2,0,0,0,0
Q9H4B0-2,364,91.14008242,high,87.92270531,0.853873798,0.475274725,0.17032967,0.354395604,8,23.29825852,na,na,na,na,na,0,0,0,1,0,0,0,0
O60861-2,336,91.13764881,high,67.01244813,0.806748532,0.696428571,0.041666667,0.261904762,-3,45.2541669,na,na,na,na,na,0,0,0,9,0,0,0,0
Q9UHQ1-4,397,91.13304786,high,87.06140351,0.925306019,0.478589421,0.110831234,0.410579345,2,21.09477326,na,na,na,na,na,0,1,1,3,0,0,0,0
P54868-3,453,91.13066225,high,89.17322835,0.89922244,0.397350993,0.185430464,0.417218543,5,26.97921835,na,na,na,na,na,0,5,0,6,0,0,0,0
Q9H237-4,450,91.12697778,high,97.39696312,0.983908906,0.74,0.017777778,0.242222222,4,23.69083916,na,na,na,na,na,0,0,0,0,0,0,0,0
Q9Y5K5-3,328,91.12606707,high,99.69604863,0.976707984,0.539634146,0.118902439,0.341463415,-10,24.40413603,na,na,na,na,na,0,0,0,0,0,0,0,0
Q9NTX5-2,301,91.1248505,high,98.04560261,0.936710072,0.524916944,0.122923588,0.352159468,3,21.03537421,na,na,na,na,na,0,0,0,0,0,0,0,0
Q16877-2,434,91.12458525,high,92.53731343,0.94146315,0.437788018,0.18202765,0.380184332,3,25.34168774,na,na,na,na,na,0,1,0,1,0,0,0,0
Q9BUY7-3,118,91.11355932,high,68.71165644,0.751232004,0.669491525,0,0.330508475,6,21.64867871,na,na,na,na,na,0,0,0,2,0,0,0,0
Q96CW1-2,433,91.11103926,high,99.54022989,0.985304662,0.212471132,0.399538106,0.387990762,22,26.77515318,na,na,na,na,na,0,0,0,0,0,0,0,0
O95970-3,509,91.10595285,high,91.38240575,0.85528431,0.066797642,0.465618861,0.467583497,9,33.70328831,na,na,na,na,na,0,0,0,0,0,0,0,0
O95302-2,338,91.10372781,high,58.94736842,0.774028356,0.207100592,0.286982249,0.50591716,-19,33.83024373,na,na,na,na,TRUE,0,0,0,0,0,0,0,0
Q16653-9,203,91.098867,high,80.56680162,0.803187718,0.399014778,0.305418719,0.295566502,6,41.48372714,na,na,na,na,na,0,0,0,0,0,0,0,0
Q92496-3,331,91.09767372,high,57.26643599,0.595567525,0.072507553,0.311178248,0.616314199,-9,49.44000273,na,TRUE,na,na,TRUE,0,0,0,0,0,0,0,0
P25774-2,281,91.09448399,high,84.89425982,0.873796085,0.34519573,0.135231317,0.519572954,9,23.4409184,na,na,na,na,na,0,2,0,0,0,0,0,0
Q9BYC5-4,169,91.09366864,high,26.67814114,0.625927998,0.372781065,0.207100592,0.420118343,-2,21.31974776,na,na,na,na,na,0,0,0,3,0,0,0,0
Q9NVG8-3,219,91.08730594,high,54.75,0.712159421,0.707762557,0,0.292237443,-13,20.83447349,na,na,na,na,na,0,0,0,14,0,0,0,0
P00387-3,334,91.08622754,high,88.32335329,0.942053106,0.296407186,0.314371257,0.389221557,-2,29.98478099,na,na,na,na,na,0,2,0,0,0,0,0,0
Q8NBI2-2,259,91.08320463,high,93.43629344,0.942105868,0.810810811,0,0.189189189,9,23.07040476,na,na,na,na,na,0,0,0,0,0,0,0,0
P53677-2,273,91.08238095,high,63.72315036,0.79263736,0.318681319,0.274725275,0.406593407,-13,21.44103549,na,na,TRUE,na,na,0,0,0,7,0,0,0,0
Q9NY84-3,117,91.07683761,high,41.97080292,0.626063256,0.478632479,0.068376068,0.452991453,-4,24.05764957,na,na,na,na,na,0,0,0,0,0,0,0,0
Q8NA58-2,531,91.07195857,high,95.66854991,0.981453306,0.502824859,0.178907721,0.31826742,-2.22E-16,30.73433589,na,na,na,na,na,0,0,0,0,0,0,0,0
P23510-2,133,91.06646617,high,72.13114754,0.849112373,0,0.421052632,0.578947368,0,16.29102999,na,na,na,na,TRUE,0,0,0,0,0,0,0,0
Q8N3Y7-2,265,91.06513208,high,85.7605178,0.906210749,0.554716981,0.132075472,0.313207547,7,21.05992789,na,na,na,na,na,0,0,0,3,0,0,0,0
Q96CS2-2,202,91.06029703,high,72.6618705,0.656296622,0.881188119,0,0.118811881,-3,70.38072048,na,na,na,na,na,0,0,0,4,0,0,0,0
Q969E2-3,132,91.06022727,high,57.20524017,0.76848136,0.704545455,0,0.295454545,3,17.04784951,na,na,na,na,na,0,0,0,5,0,0,0,0
Q8WWB7-2,325,91.05412308,high,80.04926108,0.883585829,0.190769231,0.338461538,0.470769231,-4,26.59993948,na,na,na,na,na,0,0,0,0,0,0,0,0
P52895-2,139,91.05115108,high,38.1097561,0.654212372,0.402877698,0.172661871,0.424460432,2,16.52634027,na,na,na,na,na,0,1,0,28,0,0,0,0
Q7Z4G4-3,257,91.0507393,high,54.85961123,0.762155373,0.354085603,0.233463035,0.412451362,-2,21.38707536,na,na,na,na,na,0,1,0,9,0,0,0,0
P50395-2,400,91.046775,high,89.88764045,0.929153517,0.3775,0.2175,0.405,1,22.68020647,na,na,na,na,na,0,4,0,9,0,0,0,0
P10155-4,534,91.04159176,high,97.96296296,0.993828069,0.563670412,0.06741573,0.368913858,8,26.19346338,na,na,na,na,na,0,0,0,0,0,0,0,0
Q01344-3,333,91.04021021,high,79.04761905,0.857965832,0.021021021,0.432432432,0.546546547,-6,35.05788131,na,na,na,na,TRUE,0,0,0,0,0,0,0,0
Q8N8Q1-5,172,91.02976744,high,73.36244541,0.803111311,0.784883721,0,0.215116279,11,18.65180866,na,na,na,na,na,0,0,0,0,0,0,0,0
Q9UNW1-4,286,91.02706294,high,57.28952772,0.776106848,0.534965035,0.048951049,0.416083916,-1,22.65601901,na,na,na,na,na,0,0,0,4,0,0,0,0
Q86YJ6-4,423,91.01144208,high,87.39669421,0.91779332,0.486997636,0.144208038,0.368794326,-6,21.80592407,na,na,na,na,na,0,0,0,0,0,0,0,0
P08559-2,397,91.00188917,high,98.23677582,0.956359548,0.41813602,0.120906801,0.460957179,10,25.40423592,na,na,na,na,na,0,0,1,0,0,0,1,0
Q96BW9-3,337,90.9937092,high,70.08733624,0.81625638,0.617210682,0.139465875,0.243323442,11,20.62366386,na,na,na,na,na,1,0,0,0,0,0,0,0
P29466-5,88,90.99215909,high,18.31683168,0.582304956,0.306818182,0.068181818,0.625,2,15.82982322,na,na,na,na,TRUE,0,0,0,20,0,0,0,0
Q9Y251-4,380,90.99147368,high,65.88447653,0.768914502,0.455263158,0.097368421,0.447368421,13,25.60856687,na,na,na,na,na,0,0,0,2,0,0,0,0
Q15120-2,415,90.99012048,high,97.8313253,0.958126498,0.573493976,0.103614458,0.322891566,7,26.34719672,na,na,na,na,na,0,0,0,0,0,0,0,0
P68366-2,433,90.98979215,high,96.65178571,0.981811215,0.505773672,0.143187067,0.351039261,-24,21.78447154,na,na,na,na,na,0,2,0,1,0,0,0,0
Q96CB9-3,186,90.98295699,high,44.27083333,0.716533738,0.403225806,0.172043011,0.424731183,-2,17.41515541,na,na,na,na,na,0,1,0,6,0,0,0,0
O15392-5,117,90.98034188,high,70.86092715,0.848334387,0.393162393,0.085470085,0.521367521,-6,15.84787247,na,na,na,na,na,0,0,0,9,0,0,0,9
O43280-2,552,90.97929348,high,94.51114923,0.935426145,0.496376812,0.032608696,0.471014493,-2,26.94091234,na,na,na,na,na,0,0,0,0,0,0,0,0
Q16667-2,172,90.97924419,high,81.13207547,0.848043751,0.569767442,0.11627907,0.313953488,4,18.36419036,na,na,na,na,na,0,0,0,2,0,0,0,0
Q08431-4,343,90.97906706,high,88.37209302,0.898694754,0.06122449,0.335276968,0.603498542,9,22.90092386,na,na,na,na,na,0,0,0,3,0,0,0,0
P37268-4,306,90.97686275,high,73.38129496,0.786247369,0.781045752,0,0.218954248,-7,24.79806967,na,na,na,na,na,0,1,0,7,0,0,0,0
P25788-2,248,90.9675,high,97.25490196,0.974014659,0.419354839,0.217741935,0.362903226,-7,19.24957919,na,na,na,na,na,0,0,0,0,0,0,0,0
Q8N0V5-2,400,90.964425,high,72.88557214,0.895716304,0.445,0.1075,0.4475,10,24.81178481,na,na,na,na,na,1,0,0,5,0,0,0,0
Q969U7-2,233,90.96167382,high,88.25757576,0.910206575,0.347639485,0.193133047,0.459227468,2,19.18197184,na,na,na,na,na,0,1,0,0,0,0,0,0
Q99615-2,438,90.94842466,high,88.66396761,0.918139905,0.773972603,0,0.226027397,8,38.95384931,na,na,na,na,na,0,0,0,6,0,0,0,0
O60443-2,101,90.94158416,high,20.36290323,0.576199899,0.643564356,0.158415842,0.198019802,-1,12.97242527,na,na,na,na,na,0,0,0,13,0,0,0,1
Q96A58-2,180,90.93888889,high,90.45226131,0.877941118,0.45,0.244444444,0.305555556,-2.22E-16,20.64750522,na,na,na,na,na,0,0,0,0,0,0,0,0
Q9Y673-2,294,90.93639456,high,90.74074074,0.941417202,0.493197279,0.115646259,0.391156463,13,21.13417636,na,na,na,na,na,0,0,0,4,0,0,0,0
Q9NPH3-2,356,90.93598315,high,61.75438596,0.77386935,0.084269663,0.418539326,0.497191011,2,33.42287548,na,na,na,na,TRUE,0,0,0,12,0,0,0,0
Q53G59-2,606,90.93145215,high,93.72937294,0.92355101,0.331683168,0.227722772,0.440594059,-16,35.94351966,na,na,na,na,na,0,0,1,0,0,0,0,0
O75818-2,340,90.92055882,high,93.66391185,0.937974512,0.279411765,0.291176471,0.429411765,-3,23.2877164,na,na,na,na,na,0,3,0,0,0,0,0,0
Q86TU7-2,296,90.91814189,high,48.31649832,0.700853704,0.510135135,0.060810811,0.429054054,0,20.93693264,na,na,na,na,na,0,0,0,16,0,0,0,0
Q8TCE6-2,349,90.91510029,high,94.72222222,0.97810007,0.501432665,0.217765043,0.280802292,-4,22.8126763,na,na,na,na,na,0,0,1,0,0,0,0,0
Q7L1Q6-4,423,90.90959811,high,99.05437352,0.944972485,0.73286052,0,0.26713948,-3,36.09239096,na,na,na,na,na,0,0,1,0,0,0,0,0
Q71F23-2,176,90.89886364,high,42.10526316,0.615905587,0.897727273,0,0.102272727,5,49.09592182,na,na,na,na,na,0,0,0,0,0,0,0,0
Q8N0V5-3,402,90.89144279,high,72.9528536,0.903765634,0.455223881,0.106965174,0.437810945,12,25.23267557,na,na,na,na,na,0,0,0,5,0,0,0,0
Q8NDH6-2,187,90.88941176,high,38.7966805,0.647360556,0.882352941,0,0.117647059,3,34.03757085,na,na,na,na,na,0,0,0,0,0,0,0,0
P50225-2,217,90.88686636,high,59.35483871,0.731482718,0.640552995,0.046082949,0.313364055,-1,20.00844114,na,na,na,na,na,0,2,0,11,0,0,0,0
Q9HAW9-2,441,90.8847619,high,81.69811321,0.901937371,0.476190476,0.133786848,0.390022676,-2,24.62515181,na,na,na,na,na,0,0,0,1,0,0,0,0
O43324-2,139,90.88043165,high,74.71264368,0.842863966,0.633093525,0.050359712,0.316546763,3,16.06768647,na,na,na,na,na,0,0,0,3,0,0,0,0
Q969M7-7,161,90.87136646,high,81.08108108,0.866939911,0.304347826,0.124223602,0.571428571,-8,17.17364831,na,na,na,na,na,0,0,0,3,0,0,0,0
Q12794-7,336,90.86690476,high,76.09195402,0.87694716,0.431547619,0.101190476,0.467261905,-6,21.7121343,na,na,na,na,na,0,0,0,0,0,0,0,0
O00142-2,234,90.85700855,high,85.28301887,0.906139014,0.542735043,0.115384615,0.341880342,-2,20.86973071,na,na,na,na,na,0,0,0,2,0,0,0,0
P54845-2,98,90.85653061,high,41.35021097,0.6188747,0.816326531,0,0.183673469,14,37.97051385,na,TRUE,na,na,na,0,0,0,4,0,0,0,2
Q16769-2,312,90.84990385,high,86.4265928,0.884143051,0.368589744,0.147435897,0.483974359,3,18.82204455,na,na,na,na,na,0,0,1,0,0,0,0,0
A6NLP5-2,130,90.84161538,high,68.78306878,0.740530204,0.830769231,0,0.169230769,8,20.66839541,na,na,na,na,na,0,0,0,0,0,0,0,0
