reference,length,plddt,class,helix,sheet,loop,surface charge,radius of gyration
Q14240,407,86.5227027,confident,0.42997543,0.16953317,0.4004914,-9,22.77867695
P04217,495,86.52034343,confident,0.018181818,0.35959596,0.622222222,-15,29.67612443
Q969E2,229,86.51759825,confident,0.698689956,0,0.301310044,6,22.39411381
P51965,193,86.50963731,confident,0.331606218,0.119170984,0.549222798,5,28.90867438
Q9UHP7,191,86.50727749,confident,0.35078534,0.115183246,0.534031414,-1,44.21036309
Q6SA08,328,86.50643293,confident,0.432926829,0.143292683,0.423780488,8,21.60928724
O95816,211,86.50260664,confident,0.772511848,0,0.227488152,-1,32.18985869
Q330K2,333,86.5024024,confident,0.672672673,0,0.327327327,16,27.52209354
P0C7U1,165,86.50012121,confident,0.096969697,0.424242424,0.478787879,4,19.89787845
Q969S0,331,86.49930514,confident,0.791540785,0.027190332,0.181268882,10,22.89410244
Q9BU02,230,86.49926087,confident,0.326086957,0.317391304,0.356521739,-10,19.80446944
Q8NET6,341,86.49636364,confident,0.492668622,0.055718475,0.451612903,30,24.92079567
P36575,388,86.49600515,confident,0.087628866,0.432989691,0.479381443,-5,25.88627535
Q96PP8,586,86.47194539,confident,0.627986348,0.090443686,0.281569966,-14,75.3608955
Q96MI6,459,86.46771242,confident,0.259259259,0.196296296,0.544444444,-8,25.20121096
Q16875,520,86.45832692,confident,0.371153846,0.146153846,0.482692308,10,31.37147419
Q6ZMB0,384,86.4525,confident,0.3515625,0.106770833,0.541666667,3,24.16462486
Q8N6G5,542,86.45215867,confident,0.45202952,0.173431734,0.374538745,-17,34.98639683
Q9H0U3,335,86.45202985,confident,0.629850746,0.07761194,0.292537313,16,34.42210875
Q9H6R6,413,86.45169492,confident,0.479418886,0.104116223,0.416464891,15,28.90595169
O60243,411,86.44978102,confident,0.428223844,0.03892944,0.532846715,16,32.6148776
P05112,153,86.44895425,confident,0.712418301,0.039215686,0.248366013,8,22.25788287
P57727,454,86.44640969,confident,0.215859031,0.259911894,0.524229075,-4,27.0790774
Q86TJ2,420,86.42652381,confident,0.552380952,0.030952381,0.416666667,4,43.04371367
Q5VSG8,457,86.42617068,confident,0.332603939,0.085339168,0.582056893,-2,26.35961018
P30793,250,86.42352,confident,0.376,0.188,0.436,3,26.76113709
O95926,243,86.42341564,confident,0.699588477,0,0.300411523,2,48.35516903
Q70HW3,274,86.41277372,confident,0.835766423,0,0.164233577,6,20.67211441
Q8WY64,445,86.40366292,confident,0.393258427,0.217977528,0.388764045,2,25.84783637
Q9NPI0,162,86.40283951,confident,0.864197531,0,0.135802469,7,19.79441646
Q08722,323,86.39900929,confident,0.535603715,0.154798762,0.309597523,1,39.62731965
Q969R8,447,86.39418345,confident,0.064876957,0.41163311,0.523489933,-20,27.18800479
Q86Y78,171,86.39321637,confident,0.315789474,0.204678363,0.479532164,-5,25.49689192
P40938,356,86.38935393,confident,0.601123596,0.126404494,0.27247191,7,24.11578463
P43251,543,86.38451197,confident,0.158379374,0.29281768,0.548802947,-11,27.89716907
A6NK97,555,86.38263063,confident,0.751351351,0.010810811,0.237837838,6,28.91287452
Q9HBK9,375,86.36909333,confident,0.362666667,0.189333333,0.448,-4,22.1890549
Q16674,131,86.36725191,confident,0.022900763,0.305343511,0.671755725,5,21.75245379
Q99766,215,86.36283721,confident,0.358139535,0.130232558,0.511627907,3,22.89616888
Q9H2R5,256,86.36164062,confident,0.09375,0.33203125,0.57421875,5,21.83915249
W5XKT8,324,86.36104938,confident,0.419753086,0.163580247,0.416666667,-2,49.3378211
Q9BQ51,273,86.34538462,confident,0.252747253,0.377289377,0.36996337,3,46.79085672
P11279,417,86.34311751,confident,0.119904077,0.448441247,0.431654676,9,27.67952081
Q8NFX7,210,86.3412381,confident,0.447619048,0.276190476,0.276190476,7,29.80195885
Q9Y3C1,178,86.33623596,confident,0.528089888,0,0.471910112,16,31.10145459
P01222,138,86.33565217,confident,0.173913043,0.355072464,0.471014493,2,21.44916296
Q6UX41,500,86.33032,confident,0.188,0.378,0.434,6,67.19770218
P29350,595,86.3294958,confident,0.284033613,0.189915966,0.52605042,3,31.18380377
Q8WWB7,406,86.32426108,confident,0.177339901,0.330049261,0.492610837,-3,29.26641668
P59910,316,86.32262658,confident,0.275316456,0.265822785,0.458860759,1,35.28764943
Q96RQ9,567,86.30871252,confident,0.380952381,0.160493827,0.458553792,10,28.45694128
Q9GZM7,467,86.30293362,confident,0.229122056,0.175588865,0.595289079,2,34.81287646
Q9H5X1,160,86.3010625,confident,0.55,0.1375,0.3125,-10,20.82557325
O14681,340,86.28355882,confident,0.826470588,0,0.173529412,13,28.57949516
Q9C035,493,86.27774848,confident,0.413793103,0.146044625,0.440162272,-9,54.37775945
P33681,288,86.27621528,confident,0.232638889,0.416666667,0.350694444,2,49.13748323
Q8IXH7,590,86.27416949,confident,0.725423729,0.018644068,0.255932203,-33,34.2448013
Q16854,277,86.24306859,confident,0.498194946,0.090252708,0.411552347,5,21.91721341
O43688,288,86.24003472,confident,0.611111111,0,0.388888889,6,28.4400098
Q86UY8,548,86.23890511,confident,0.437956204,0.087591241,0.474452555,9,28.93957899
P40121,348,86.23775862,confident,0.287356322,0.275862069,0.436781609,1,21.00371459
P26641,437,86.23427918,confident,0.459954233,0.128146453,0.411899314,-2,28.11466292
Q9NVR7,557,86.23044883,confident,0.393177738,0.143626571,0.463195691,12,27.2783729
Q53G44,452,86.22882743,confident,0.327433628,0.243362832,0.42920354,2,27.2368413
Q9NR22,394,86.2121066,confident,0.258883249,0.276649746,0.464467005,1,25.51337053
Q8NFV4,315,86.2064127,confident,0.374603175,0.136507937,0.488888889,5,21.45375263
Q86WD7,417,86.2018705,confident,0.294964029,0.275779376,0.429256595,17,26.48429899
Q8IY49,270,86.1972963,confident,0.744444444,0,0.255555556,8,20.62096954
Q96FL8,570,86.19431579,confident,0.796491228,0,0.203508772,3,30.04533776
Q96S37,553,86.18122966,confident,0.745027125,0.021699819,0.233273056,5,28.68230143
Q6QNY1,142,86.1778169,confident,0.732394366,0,0.267605634,-7,58.7811792
Q9BYJ4,488,86.17766393,confident,0.43442623,0.168032787,0.397540984,2,54.46001938
Q8WXF7,558,86.17643369,confident,0.528673835,0.109318996,0.362007168,-8,40.76160986
Q96HJ9,113,86.17539823,confident,0.654867257,0,0.345132743,10,24.69374012
Q5SYC1,327,86.17021407,confident,0.480122324,0.058103976,0.4617737,-7,26.32992729
Q9Y4P1,393,86.16842239,confident,0.323155216,0.134860051,0.541984733,-18,22.78392308
Q86YM7,354,86.16717514,confident,0.596045198,0.155367232,0.248587571,-12,63.84619715
O75365,173,86.16508671,confident,0.416184971,0.184971098,0.398843931,10,16.3458325
P04278,402,86.13902985,confident,0.07960199,0.400497512,0.519900498,-1,27.12892549
P60981,165,86.13218182,confident,0.327272727,0.260606061,0.412121212,2,15.69469141
Q13740,583,86.12668954,confident,0.094339623,0.401372213,0.504288165,-4,63.53457344
P61758,197,86.12228426,confident,0.593908629,0.14213198,0.263959391,1,30.20501861
Q8N668,190,86.12005263,confident,0.584210526,0.147368421,0.268421053,-3,26.17946196
Q9NR31,198,86.11479798,confident,0.393939394,0.181818182,0.424242424,-2.00E-15,16.80079812
Q9NS85,328,86.0992378,confident,0.210365854,0.219512195,0.570121951,5,22.92122114
Q9NPH3,570,86.09519298,confident,0.250877193,0.298245614,0.450877193,10,65.73470604
Q9BZX2,261,86.08536398,confident,0.436781609,0.153256705,0.409961686,-1,25.78428132
Q9UNH6,387,86.06361757,confident,0.700258398,0.074935401,0.224806202,-22,30.97414046
Q8NCR0,500,86.06312,confident,0.29,0.198,0.512,-12,29.42372107
Q5T9G4,340,86.06011765,confident,0.714705882,0,0.285294118,2,29.44687794
Q86TU7,594,86.04744108,confident,0.496632997,0.077441077,0.425925926,-8,29.2987733
P78383,322,86.03512422,confident,0.773291925,0,0.226708075,13,20.80079525
O75947,161,86.03496894,confident,0.652173913,0,0.347826087,-4,37.72096745
O43929,436,86.03142202,confident,0.600917431,0.077981651,0.321100917,2,30.58000091
P48426,406,86.02549261,confident,0.357142857,0.157635468,0.485221675,1,27.27811435
Q96QU6,501,86.02269461,confident,0.405189621,0.093812375,0.500998004,-1,26.9447778
O94810,467,86.01021413,confident,0.550321199,0.025695931,0.423982869,10,35.67477377
P49802,495,85.99670707,confident,0.539393939,0.04040404,0.42020202,5,36.08044061
Q6PKH6,230,85.98013043,confident,0.473913043,0.160869565,0.365217391,14,21.47711665
Q9UGI8,421,85.97693587,confident,0.251781473,0.149643705,0.598574822,6,31.5917263
Q15173,497,85.95905433,confident,0.672032193,0,0.327967807,-3,34.03390772
Q6P9H5,292,85.95815068,confident,0.45890411,0.130136986,0.410958904,-13,29.40488619
Q9Y305,439,85.9547836,confident,0.325740319,0.261958998,0.412300683,10,25.67026127
Q7L5A8,372,85.9536828,confident,0.521505376,0.029569892,0.448924731,9,25.78500695
Q9H0T7,212,85.95221698,confident,0.377358491,0.216981132,0.405660377,3,23.7327185
Q96H96,371,85.95067385,confident,0.735849057,0,0.264150943,14,26.01864261
Q9UIK4,370,85.94943243,confident,0.391891892,0.116216216,0.491891892,-3.55E-15,30.81243528
Q9H857,520,85.94796154,confident,0.486538462,0.092307692,0.421153846,-3,26.17341717
Q96BJ3,306,85.93911765,confident,0.294117647,0.202614379,0.503267974,-4,22.7233447
Q8WWX0,329,85.93613982,confident,0.607902736,0,0.392097264,-4,30.53897191
Q96H22,339,85.93277286,confident,0.410029499,0.17699115,0.412979351,7,26.01975807
O60258,216,85.91319444,confident,0.189814815,0.25462963,0.555555556,22,30.02787357
Q9UJQ1,280,85.91253571,confident,0.217857143,0.357142857,0.425,-6,35.42444582
Q12841,308,85.90678571,confident,0.451298701,0.146103896,0.402597403,-8,35.74849195
Q15118,436,85.89947248,confident,0.516055046,0.089449541,0.394495413,8,24.43684241
Q9Y680,222,85.89072072,confident,0.337837838,0.207207207,0.454954955,-2,28.31740269
O43586,416,85.89033654,confident,0.596153846,0.072115385,0.331730769,-10,52.29992146
Q8TCX1,351,85.88396011,confident,0.487179487,0.122507123,0.39031339,3,25.23581652
Q8NEZ5,403,85.87166253,confident,0.302729529,0.267990074,0.429280397,1,23.75849162
Q93097,391,85.87012788,confident,0.381074169,0.153452685,0.465473146,26,34.99965549
P37287,484,85.85371901,confident,0.466942149,0.148760331,0.384297521,9,26.17808642
Q99447,389,85.85020566,confident,0.406169666,0.131105398,0.462724936,-4,25.50575992
P35613,385,85.83316883,confident,0.077922078,0.412987013,0.509090909,-12,46.89630052
Q06124,593,85.82408094,confident,0.298482293,0.178752108,0.522765599,3,29.89910662
Q9UHQ4,241,85.82219917,confident,0.941908714,0,0.058091286,12,66.23818781
Q8WVV5,523,85.8198088,confident,0.206500956,0.351816444,0.4416826,-8,38.84925273
Q5J8X5,152,85.81625,confident,0.842105263,0,0.157894737,4,21.87422692
Q0P6D2,419,85.80875895,confident,0.489260143,0.105011933,0.405727924,-3,28.87573872
O95900,331,85.80722054,confident,0.344410876,0.241691843,0.413897281,6,31.55892083
Q8N6Q3,437,85.80475973,confident,0.052631579,0.398169336,0.549199085,-5,32.48395997
O95922,423,85.8041844,confident,0.373522459,0.170212766,0.456264775,13,23.34854153
P61020,215,85.80316279,confident,0.279069767,0.227906977,0.493023256,3,27.05676031
Q9NX52,303,85.79782178,confident,0.772277228,0,0.227722772,1,22.35974573
Q96JJ7,454,85.79356828,confident,0.537444934,0.151982379,0.310572687,-22,37.65829565
Q6UY01,552,85.78846014,confident,0.394927536,0.092391304,0.512681159,-3,28.73947836
P17706,415,85.7880241,confident,0.477108434,0.13253012,0.390361446,5,27.30375662
Q7L592,441,85.78671202,confident,0.351473923,0.188208617,0.46031746,8,26.71172561
Q13825,339,85.78528024,confident,0.410029499,0.10619469,0.483775811,14,26.64876952
Q6PK18,319,85.78241379,confident,0.322884013,0.194357367,0.482758621,1,32.02936243
Q5W5X9,447,85.77315436,confident,0.758389262,0,0.241610738,6,36.30238043
Q5TYM5,149,85.76456376,confident,0.053691275,0.308724832,0.637583893,-3,16.88030024
Q96SY0,518,85.75252896,confident,0.3996139,0.17953668,0.420849421,-20,32.82277837
Q16627,93,85.75236559,confident,0.290322581,0.172043011,0.537634409,4,21.74125007
Q9C030,488,85.74846311,confident,0.379098361,0.178278689,0.442622951,2,58.1616332
Q93045,179,85.74826816,confident,0.659217877,0.083798883,0.25698324,2,66.6355827
Q8NA23,367,85.73591281,confident,0,0.449591281,0.550408719,8,23.59546959
Q9BTT6,524,85.73570611,confident,0.229007634,0.118320611,0.652671756,-23,33.3293592
Q5XUX1,458,85.73462882,confident,0.163755459,0.388646288,0.447598253,-6,26.50181033
Q969U6,566,85.71577739,confident,0.173144876,0.302120141,0.524734982,-8,28.59540027
Q99623,299,85.71381271,confident,0.602006689,0.204013378,0.193979933,12,50.018291
Q9NWU5,206,85.71368932,confident,0.344660194,0.194174757,0.461165049,17,29.35312494
Q86TN4,253,85.71355731,confident,0.260869565,0.162055336,0.577075099,10,25.79623968
Q96RS6,583,85.70243568,confident,0.073756432,0.387650086,0.538593482,-25,32.16735893
P00797,406,85.69827586,confident,0.167487685,0.334975369,0.497536946,5,27.45128057
P61006,207,85.68652174,confident,0.347826087,0.22705314,0.425120773,8,26.43623156
P48048,391,85.68478261,confident,0.406649616,0.212276215,0.381074169,9,37.76772281
P52429,567,85.68414462,confident,0.345679012,0.209876543,0.444444444,9,30.68228836
Q9UKB1,542,85.67780443,confident,0.278597786,0.300738007,0.420664207,-2,35.35326129
P10644,381,85.66866142,confident,0.448818898,0.204724409,0.346456693,-7,33.09971959
Q5TBC7,163,85.66582822,confident,0.680981595,0,0.319018405,-12,16.76432711
Q9H0S4,455,85.66276923,confident,0.452747253,0.142857143,0.404395604,12,27.00689223
Q0GE19,340,85.65182353,confident,0.823529412,0,0.176470588,9,20.37761477
E5RJM6,399,85.64904762,confident,0.521303258,0,0.478696742,-7,30.94225063
Q86YT5,568,85.64399648,confident,0.762323944,0,0.237676056,7,27.55528189
Q14129,220,85.64381818,confident,0.772727273,0,0.227272727,-3.33E-15,29.9452013
P56378,58,85.63948276,confident,0.862068966,0,0.137931034,7,25.87471101
Q7Z4L9,309,85.6379288,confident,0.265372168,0.077669903,0.656957929,6,30.33602514
Q96GQ5,468,85.63681624,confident,0.572649573,0.081196581,0.346153846,-2.89E-15,27.66267132
Q9NYG2,299,85.62421405,confident,0.538461538,0.056856187,0.404682274,7,24.55807184
Q8TAC9,235,85.61502128,confident,0.69787234,0,0.30212766,4,27.5908911
Q6PI73,481,85.61328482,confident,0.083160083,0.401247401,0.515592516,1,37.53715634
P02679,453,85.61136865,confident,0.335540839,0.121412804,0.543046358,-11,79.05211636
Q15907,218,85.6083945,confident,0.371559633,0.21559633,0.412844037,-2,27.11867821
Q96AJ9,217,85.60543779,confident,0.930875576,0,0.069124424,-2,39.83480246
Q9UGK8,458,85.60475983,confident,0.115720524,0.255458515,0.628820961,-8,31.71915102
Q15573,450,85.59848889,confident,0.757777778,0,0.242222222,13,35.23996539
Q9HC97,309,85.59517799,confident,0.799352751,0,0.200647249,13,23.97999545
O15539,181,85.59475138,confident,0.674033149,0,0.325966851,-8.88E-16,24.16787414
Q9NZC7,414,85.59222222,confident,0.400966184,0.185990338,0.413043478,2,24.6686801
P09132,144,85.58611111,confident,0.319444444,0.076388889,0.604166667,14,22.6776008
Q8IVM8,553,85.58133816,confident,0.737793852,0.021699819,0.240506329,4,28.46845695
Q6UY27,113,85.57787611,confident,0.10619469,0.415929204,0.477876106,-2.00E-15,24.44135739
Q00059,246,85.56373984,confident,0.638211382,0,0.361788618,19,29.65074211
Q00889,435,85.56289655,confident,0.029885057,0.4,0.570114943,8,55.40611903
Q8N2U9,271,85.56273063,confident,0.756457565,0,0.243542435,1,24.11625864
Q9UKR3,277,85.55797834,confident,0.122743682,0.277978339,0.599277978,8,22.57717483
Q8TCC7,542,85.55763838,confident,0.736162362,0.022140221,0.241697417,11,29.37057962
Q08209,521,85.54904031,confident,0.429942418,0.111324376,0.458733205,-7,30.48038328
Q8N149,483,85.54026915,confident,0.109730849,0.354037267,0.536231884,-5,38.95326211
P54619,331,85.52891239,confident,0.410876133,0.120845921,0.468277946,-2,24.19926977
Q9BV94,578,85.51790657,confident,0.470588235,0.089965398,0.439446367,-12,30.58426963
Q15185,160,85.516,confident,0.10625,0.3,0.59375,-19,22.4999121
Q6PID8,442,85.51135747,confident,0.101809955,0.271493213,0.626696833,15,22.82999628
O14656,332,85.51057229,confident,0.536144578,0.084337349,0.379518072,-2,24.89451057
P35236,360,85.48925,confident,0.302777778,0.144444444,0.552777778,-4,28.49129227
Q9H7H0,456,85.48548246,confident,0.359649123,0.146929825,0.493421053,19,26.62413379
Q9BUX1,222,85.48513514,confident,0.306306306,0.247747748,0.445945946,-7,18.60212892
Q9UBQ5,218,85.47536697,confident,0.729357798,0.04587156,0.224770642,-12,23.01316575
Q92527,254,85.47409449,confident,0.594488189,0,0.405511811,11,27.53512499
Q9Y577,477,85.46725367,confident,0.368972746,0.201257862,0.429769392,-2,52.25557553
Q7Z4G1,85,85.45352941,confident,0.235294118,0.4,0.364705882,-1,18.25989659
Q9NWW5,311,85.45234727,confident,0.678456592,0,0.321543408,7,26.9559402
Q8NFH3,380,85.44094737,confident,0.015789474,0.439473684,0.544736842,-18,21.40496673
Q70IA6,237,85.44059072,confident,0.514767932,0,0.485232068,-4,25.60829164
Q92643,395,85.43881013,confident,0.389873418,0.113924051,0.496202532,-7,31.30769287
P50579,478,85.43345188,confident,0.29707113,0.158995816,0.543933054,-10,28.01380518
O75469,434,85.42887097,confident,0.52764977,0.069124424,0.403225806,10,32.25753197
Q6P4A7,337,85.42759644,confident,0.65578635,0.053412463,0.290801187,6,22.64649646
P51157,221,85.4261991,confident,0.303167421,0.221719457,0.475113122,-1,23.50124737
Q8IYM9,498,85.42036145,confident,0.40562249,0.170682731,0.423694779,3,52.90267165
Q9BSY9,194,85.41149485,confident,0.5,0.201030928,0.298969072,-11,23.53625938
Q9Y320,296,85.41,confident,0.543918919,0.087837838,0.368243243,7,29.94866958
P20340,208,85.40528846,confident,0.322115385,0.221153846,0.456730769,-8.88E-16,26.16415734
Q9BY44,585,85.40099145,confident,0.126495726,0.338461538,0.535042735,15,30.81105061
Q9NYS7,404,85.38905941,confident,0.096534653,0.386138614,0.517326733,5,21.38585755
P30044,214,85.38378505,confident,0.252336449,0.168224299,0.579439252,7,26.59854531
Q6ZMR5,421,85.37954869,confident,0.277909739,0.285035629,0.437054632,16,28.81540351
Q9Y6F1,533,85.37448405,confident,0.313320826,0.219512195,0.467166979,-2.55E-15,28.71616908
Q76EJ3,337,85.37086053,confident,0.735905045,0,0.264094955,8,23.59385444
Q9C029,511,85.36516634,confident,0.424657534,0.18590998,0.389432485,2,47.68307708
Q9NVS2,196,85.35989796,confident,0.168367347,0.081632653,0.75,22,26.87680577
P13051,313,85.35670927,confident,0.367412141,0.063897764,0.568690096,10,29.68436192
O43405,550,85.35569091,confident,0.34,0.178181818,0.481818182,8,35.02226128
Q9UM21,535,85.35534579,confident,0.426168224,0.190654206,0.38317757,2,29.79551339
Q8TDH9,187,85.3526738,confident,0.828877005,0,0.171122995,-5.00E-15,71.48486446
Q96BD8,255,85.34556863,confident,0.611764706,0.047058824,0.341176471,-1,32.30553293
Q7Z4T8,443,85.34440181,confident,0.453724605,0.153498871,0.392776524,12,26.13440178
Q86WB7,457,85.34227571,confident,0.814004376,0,0.185995624,6,22.54048345
Q9UHW5,284,85.33341549,confident,0.535211268,0.112676056,0.352112676,-26,24.05334723
Q8N584,583,85.3332247,confident,0.777015437,0,0.222984563,3,30.4684429
Q86TS9,123,85.33284553,confident,0.487804878,0,0.512195122,8,36.15074817
Q9P1W8,387,85.32731266,confident,0.025839793,0.395348837,0.57881137,-4.66E-15,43.7111877
Q309B1,348,85.32678161,confident,0.33908046,0.232758621,0.42816092,-5,42.28782609
Q9NZ72,180,85.31938889,confident,0.683333333,0.083333333,0.233333333,-4.44E-15,65.82766805
O43598,174,85.31885057,confident,0.390804598,0.114942529,0.494252874,-6,17.1354327
P35250,354,85.31053672,confident,0.570621469,0.076271186,0.353107345,-4,27.78474003
O60942,597,85.30860972,confident,0.326633166,0.209380235,0.4639866,9,32.52465819
A1XBS5,289,85.29031142,confident,0.795847751,0,0.204152249,-3,40.43486825
Q92769,488,85.28358607,confident,0.342213115,0.084016393,0.573770492,-9,32.00229638
Q99627,209,85.28114833,confident,0.655502392,0.033492823,0.311004785,-4,21.46197744
Q9Y5X0,201,85.2799005,confident,0.338308458,0.149253731,0.512437811,-8,30.74319207
Q8NEY4,427,85.27702576,confident,0.519906323,0.117096019,0.362997658,-5,35.93808062
Q14142,442,85.27307692,confident,0.391402715,0.185520362,0.423076923,5,46.85170104
Q9BZG8,443,85.27119639,confident,0.322799097,0.137697517,0.539503386,5,27.99098074
Q7Z7A4,578,85.26268166,confident,0.420415225,0.119377163,0.460207612,27,31.13534457
Q96CW9,530,85.25418868,confident,0.143396226,0.20754717,0.649056604,-6,38.74474898
Q969V3,563,85.2531794,confident,0.438721137,0.181172291,0.380106572,1,34.41198837
Q9UMR7,237,85.25270042,confident,0.278481013,0.181434599,0.540084388,-1.33E-15,36.20893832
Q7LG56,351,85.24908832,confident,0.689458689,0,0.310541311,-8,23.74782286
Q4G1C9,344,85.24514535,confident,0.465116279,0.095930233,0.438953488,-21,44.07012742
O75663,272,85.24404412,confident,0.176470588,0.375,0.448529412,-8,21.82908046
Q7KZN9,410,85.23943902,confident,0.636585366,0,0.363414634,21,29.18138761
P22891,400,85.227425,confident,0.22,0.24,0.54,-12,36.48196316
Q8N4Z0,218,85.2266055,confident,0.325688073,0.220183486,0.45412844,-1,21.22464183
P61204,181,85.22110497,confident,0.38121547,0.243093923,0.375690608,1,17.00938538
Q8IZ02,464,85.21715517,confident,0.375,0.099137931,0.525862069,-1,26.33476171
P01011,423,85.21640662,confident,0.333333333,0.274231678,0.392434988,-10,26.89692953
Q12792,350,85.21548571,confident,0.365714286,0.214285714,0.42,-3,36.23504368
P30048,256,85.21207031,confident,0.25390625,0.1796875,0.56640625,3,27.85368831
Q9BX67,310,85.20012903,confident,0.119354839,0.325806452,0.55483871,4,45.85386122
Q02161,417,85.19553957,confident,0.774580336,0.014388489,0.211031175,8,21.70372517
O94905,339,85.18306785,confident,0.569321534,0.159292035,0.271386431,-8,68.87612776
A4QPB2,252,85.18218254,confident,0.011904762,0.456349206,0.531746032,-3,17.88147425
Q14181,598,85.17978261,confident,0.314381271,0.175585284,0.510033445,-15,26.67273276
Q8IXL7,192,85.175625,confident,0.135416667,0.177083333,0.6875,2,29.19652583
Q86TP1,453,85.17432671,confident,0.439293598,0.150110375,0.410596026,-16,27.50683981
P62495,437,85.17352403,confident,0.443935927,0.235697941,0.320366133,-9,29.77961405
Q96S52,555,85.16924324,confident,0.481081081,0.196396396,0.322522523,-4,36.82386689
Q9NY57,414,85.16859903,confident,0.415458937,0.11352657,0.471014493,4,23.82824069
Q9Y5Z4,205,85.16146341,confident,0.204878049,0.273170732,0.52195122,-13,19.94537657
Q15485,313,85.15817891,confident,0.121405751,0.178913738,0.699680511,-1,42.14653559
Q9Y6I7,421,85.13876485,confident,0.095011876,0.382422803,0.522565321,1,21.63373347
Q9Y2H1,464,85.12982759,confident,0.489224138,0.103448276,0.407327586,2,25.66965532
Q9BZJ3,242,85.12855372,confident,0.078512397,0.198347107,0.723140496,-11,25.61560225
Q7Z624,323,85.12687307,confident,0.371517028,0.182662539,0.445820433,-1,24.76271536
O95551,362,85.11994475,confident,0.256906077,0.220994475,0.522099448,-12,25.29396826
P51948,309,85.11834951,confident,0.556634304,0.058252427,0.385113269,-5,34.86688382
Q6IPU0,288,85.11572917,confident,0.479166667,0.274305556,0.246527778,-6,27.49252475
Q9UJX2,597,85.10899497,confident,0.708542714,0,0.291457286,-2,30.68082443
Q9UET6,329,85.10723404,confident,0.313069909,0.136778116,0.550151976,-3,28.73193461
P26951,378,85.10473545,confident,0.150793651,0.338624339,0.510582011,8,53.97429702
Q5TEU4,345,85.10353623,confident,0.333333333,0.15942029,0.507246377,1,28.14253265
Q16619,201,85.0961194,confident,0.68159204,0,0.31840796,5,22.39846393
Q86VX2,200,85.0921,confident,0.635,0.175,0.19,-2,23.79201553
Q9H3H1,467,85.09154176,confident,0.496788009,0.070663812,0.43254818,6,30.71648672
Q9NRW1,208,85.08014423,confident,0.302884615,0.221153846,0.475961538,-1.78E-15,25.12342338
O43739,400,85.074875,confident,0.5175,0.1225,0.36,-10,26.76274785
Q8TC17,118,85.07440678,confident,0.118644068,0.347457627,0.533898305,1,19.27355837
Q13838,428,85.07065421,confident,0.413551402,0.14953271,0.436915888,-12,23.42813391
Q9H9Q2,264,85.06799242,confident,0.670454545,0.064393939,0.265151515,-4,44.93376254
P51398,398,85.0621608,confident,0.424623116,0.113065327,0.462311558,11,27.71804972
P16298,524,85.0590458,confident,0.410305344,0.103053435,0.486641221,-8,31.12343989
Q9BRV8,207,85.05898551,confident,0.903381643,0,0.096618357,-11,65.50726422
P20339,215,85.05148837,confident,0.279069767,0.223255814,0.497674419,3,24.7681283
Q969X2,333,85.05132132,confident,0.438438438,0.111111111,0.45045045,21,28.30272872
Q9Y6M0,314,85.0461465,confident,0.171974522,0.248407643,0.579617834,3,26.11453495
O60825,505,85.04158416,confident,0.384158416,0.136633663,0.479207921,9,29.63455586
Q06330,500,85.03534,confident,0.096,0.34,0.564,-2.22E-15,29.48037657
Q9Y259,395,85.02534177,confident,0.503797468,0.108860759,0.387341772,-12,25.32968335
Q9Y2B0,182,85.01159341,confident,0.527472527,0.126373626,0.346153846,-13,21.16895332
Q8N431,466,85.00918455,confident,0.654506438,0,0.345493562,5,26.67376348
O00148,427,85.00796253,confident,0.405152225,0.154566745,0.44028103,-9,23.09469536
Q8N9B8,481,85.007921,confident,0.688149688,0.018711019,0.293139293,2,27.06245225
P12314,374,85.00665775,confident,0.21657754,0.320855615,0.462566845,3,49.46945785
P61201,443,85.00160271,confident,0.729119639,0.027088036,0.243792325,-13,35.41549467
Q9HAT0,212,85.00113208,confident,0.613207547,0.056603774,0.330188679,-4,25.07502549
Q8TB37,319,84.98974922,confident,0.379310345,0.131661442,0.489028213,8,25.44488138
Q96DI7,357,84.9897479,confident,0,0.414565826,0.585434174,5,22.7217526
O43865,530,84.98749057,confident,0.4,0.113207547,0.486792453,3,29.5691984
P60866,119,84.98277311,confident,0.235294118,0.336134454,0.428571429,9,24.40148561
Q9NP72,206,84.98145631,confident,0.32038835,0.223300971,0.45631068,-4,22.11440176
O00746,187,84.97898396,confident,0.411764706,0.128342246,0.459893048,7,23.03028381
Q8WYN0,398,84.97811558,confident,0.291457286,0.135678392,0.572864322,-16,23.73263626
Q3KPI0,293,84.97682594,confident,0.177474403,0.351535836,0.470989761,-3,47.42621599
Q9NZJ9,180,84.963,confident,0.25,0.283333333,0.466666667,-2.22E-15,18.77071418
Q9NX61,479,84.96079332,confident,0.734864301,0.025052192,0.240083507,7,27.77817035
O15245,554,84.9583213,confident,0.722021661,0.010830325,0.267148014,1,29.43760927
Q16342,344,84.95424419,confident,0.191860465,0.183139535,0.625,-13,23.89026391
Q8N6M0,293,84.94699659,confident,0.56996587,0.081911263,0.348122867,-6,32.72454389
P83110,453,84.94242826,confident,0.245033113,0.328918322,0.426048565,-4.00E-15,44.45098954
P82673,323,84.93408669,confident,0.411764706,0.046439628,0.541795666,3,40.89014583
Q7Z7H5,227,84.93079295,confident,0.45814978,0.295154185,0.246696035,2,32.53097612
Q15438,398,84.93060302,confident,0.525125628,0.125628141,0.349246231,-9,29.01636402
P78346,268,84.92787313,confident,0.417910448,0.134328358,0.447761194,12,21.25688487
